     1.280      0.561      1.858      1.000      0.000
     1.290      0.579      1.855      1.000      0.000
     1.300      0.598      1.851      1.000      0.000
     1.310      0.616      1.846      1.000      0.000
     1.320      0.635      1.842      1.000      0.000
     1.330      0.653      1.837      1.000      0.000
     1.340      0.671      1.831      1.000      0.000
     1.350      0.690      1.825      1.000      0.000
     1.360      0.708      1.819      1.000      0.000
     1.370      0.726      1.813      1.000      0.000
     1.380      0.744      1.806      1.000      0.000
     1.390      0.762      1.799      1.000      0.000
     1.400      0.780      1.791      1.000      0.000
     1.410      0.798      1.783      1.000      0.000
     1.420      0.816      1.775      1.000      0.000
     1.430      0.833      1.766      1.000      0.000
     1.440      0.851      1.757      1.000      0.000
     1.450      0.869      1.748      1.000      0.000
     1.460      0.886      1.738      1.000      0.000
     1.470      0.903      1.728      1.000      0.000
     1.480      0.921      1.717      1.000      0.000
     1.490      0.938      1.707      1.000      0.000
     1.500      0.955      1.696      1.000      0.000
     1.510      0.972      1.684      1.000      0.000
     1.520      0.988      1.672      1.000      0.000
     1.530      1.005      1.660      1.000      0.000
     1.540      1.022      1.648      1.000      0.000
     1.550      1.038      1.635      1.000      0.000
     1.560      1.054      1.622      1.000      0.000
     1.570      1.070      1.608      1.000      0.000
     1.580      1.086      1.594      1.000      0.000
     1.590      1.102      1.580      1.000      0.000
     1.600      1.118      1.566      1.000      0.000
     1.610      1.134      1.551      1.000      0.000
     1.620      1.149      1.536      1.000      0.000
     1.630      1.164      1.520      1.000      0.000
     1.640      1.179      1.505      1.000      0.000
     1.650      1.194      1.488      1.000      0.000
     1.660      1.209      1.472      1.000      0.000
     1.670      1.224      1.455      1.000      0.000
     1.680      1.238      1.438      1.000      0.000
     1.690      1.253      1.421      1.000      0.000
     1.700      1.267      1.403      1.000      0.000
     1.710      1.281      1.385      1.000      0.000
     1.720      1.294      1.367      1.000      0.000
     1.730      1.308      1.349      1.000      0.000
     1.740      1.321      1.330      1.000      0.000
     1.750      1.335      1.311      1.000      0.000
     1.760      1.348      1.291      1.000      0.000
     1.770      1.360      1.272      1.000      0.000
     1.780      1.373      1.252      1.000      0.000
     1.790      1.386      1.231      1.000      0.000
